                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.3305,                0.73856,                 1.3766,                0.25851,                0.48287,                0.27456,                0.10228,                 2.2313,                  2.728,                 2.1647,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.3481,                0.70291,                 1.3779,                0.23021,                0.94005,                0.29295,                0.09698,                 2.4656,                 2.8718,                 2.3941,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.3836,                0.74699,                 1.4244,                0.31927,                0.61144,                0.33243,                0.15195,                 1.9978,                 2.5327,                 1.9796,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.3287,                0.72037,                 1.3822,                 0.2587,                0.56399,                0.27343,                0.11758,                 2.1077,                 2.8128,                 2.1043,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.3196,                0.73518,                 1.3509,                0.23821,                0.97252,                0.30343,                 0.1112,                 2.2391,                  2.784,                 2.1384,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.3452,                0.73034,                 1.3603,                 0.3138,                0.46607,                0.30858,                0.10698,                 2.2331,                 2.7252,                 2.1003,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.3298,                0.70904,                 1.3594,                0.25297,                0.94579,                0.27286,                0.12096,                 2.0397,                 2.8733,                 1.9835,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.3057,                0.74132,                 1.3582,                0.21034,                0.91455,                0.25802,                0.10866,                 2.1946,                 2.8927,                 2.1291,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.3304,                0.72325,                 1.3476,                0.21739,                 0.9473,                0.25969,                0.10146,                 2.2689,                 2.8631,                 2.2098,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.3037,                0.69071,                 1.3358,                0.20702,                0.96603,                 0.2595,                0.12034,                 2.0407,                 2.6948,                 2.0112,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.3377,                0.68489,                 1.3994,                0.24864,                0.95304,                0.29122,                0.12339,                 2.1178,                 2.5733,                 2.0362,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.2849,                0.70283,                 1.2952,                0.24477,                0.47023,                0.24627,                0.10129,                 2.1145,                  2.751,                 2.0388,             0.00042925,             0.00042925,             0.00042925
